	observed_otus
5001	146
5002	147
5004	149
5005	121
5006	152
5007	135
5008	192
5009	125
5010	114
5011	189
5012	182
5014	153
5015	53
5016	114
5019	175
5020	162
5021	162
5023	155
5026	173
5027	83
5032	86
5037	123
5040	127
5042	115
5043	135
5045	155
5046	100
5047	146
5048	123
5049	150
5050	187
5051	165
5052	163
5053	189
5057	135
5058	157
5059	138
5060	137
5062	174
6001	159
6002	167
6003	130
6004	126
6005	150
6007	173
6008	48
6009	164
6010	162
6011	138
6013	166
6014	95
6015	154
6016	150
6017	112
6018	137
6019	146
6021	126
6022	204
6023	148
6024	144
6025	167
6026	145
6028	133
6030	157
6031	173
6032	205
6034	193
6035	123
6036	169
6039	167
6040	111
6042	122
6045	200
6046	134
6048	192
6049	87
6050	141
6051	115
6052	140
6053	145
6054	150
6055	157
6057	136
6058	129
6059	152
6061	127
6062	145
6063	147
6064	181
6065	126
6067	150
6069	159
6070	154
6071	135
6075	176
6080	170
6081	130
6083	107
6084	169
6087	120
6088	137
6092	161
6094	158
6095	151
6102	144
6103	147
7002	164
7003	153
7005	129
7009	119
7010	162
7011	134
7012	135
7013	115
7015	112
7016	91
7017	156
7020	79
7021	130
7023	186
7025	107
7027	184
7028	124
7029	171
7030	153
7032	120
7033	150
7035	120
7039	130
7044	96
6041-d	184
6056-z	109
6078	183
6085	137
6093	159
6097	163
6099	163
6100	226
6101	180
7022	195
7024	194
7031	195
7034	116
7036	171
7037	207
7038	162
7043	172
7045	172
7046	120
7047	179
7048	145
7049	130
7050	191
7054	155
7055-5	107
7056	180
7057	187
7060	147
7061	157
7062	111
7064	162
7066	169
7070	173
7073	116
7076	154
7078	86
7081	170
7083	75
7084	189
7085	210
7090	183
7091	200
7092	206
7093	129
7096	181
7097	197
7098	111
7099	127
7101	218
7102	181
7104	105
7105-5	208
7106-5	182
7107	144
7108	218
7109	196
7110	148
7112	189
7113	143
7114	197
7115	73
7118	111
7119	188
7121	186
7122	119
7124	226
7125	116
8001	128
8002	122
8003	149
8004	174
8005	134
8006	66
8007	106
8008	126
8009	164
8010	108
8011	133
8013	129
8014-5	90
8015	177
8017	181
8021	152
8024	99
8025	105
8026	110
8027	198
8032	136
8033	112
8034	169
8035	149
8036	170
8037	129
8038	104
8040	143
8041	202
8042	160
8044-5	195
8045	127
8046	108
8047	109
8048-F10	145
8050	148
8052	128
8055-5	147
8056-2	171
8058	214
8061	120
8081	108
5018-z-b3	133
6038r	131
6077r	144
6086r	157
6089r	167
7006r	206
7051r	153
7058r	107
7059r	169
7067x	121
7068-50x	173
7075r	128
7077x	133
7079x	148
7080-50x	148
7086x	138
7087x	121
7088-50x	164
7116r	194
7117-50x	47
7120r	179
8016r	153
8018r	126
8019r	146
8023r	110
8028r	151
8031r	200
8051-50r	152
8053r	77
8062	150
8066	147
8068	184
8075	133
8077	154
8078	106
8080	159
8083	133
8084	172
8085	225
8088	111
8089	99
8090	128
8091	147
8092	115
8093	163
8094	184
8095	152
8096	136
8097	178
8098	140
8100	151
8101	193
8102	96
8103	210
8104	142
8105	84
8107	139
8108	135
8109	148
8113	177
9001-50	150
9002	138
9004-50	151
9005	116
9007	150
9008-50	129
9009-50	136
9010	127
9011-50	183
9012	179
9014	189
9015-50	135
9016-C2	119
9017	187
9018	101
9019	177
9020	157
9021	134
9023	121
9024	129
9026	146
9027	87
9028	130
9029	186
9030	157
9031	180
9033	95
9034	184
9035	114
9037	232
9038	182
9039	165
9040	143
9041	172
9042	165
9043	183
9045	174
9046	103
9047	161
9048	143
9049	123
9050	159
9051	161
9052	151
9054	163
9055	160
9056	127
9057	138
9059	154
9062	168
9065	157
9066	187
9067-50	180
9069-20	165
