	shannon
5001	5.594473598837588
5002	5.941538155042921
5004	5.925943487620002
5005	5.40187422749431
5006	5.801587913060044
5007	5.2835518243297885
5008	6.342677761244851
5009	5.361097910805213
5010	4.869782819661322
5011	5.884493160982157
5012	6.18337818492117
5014	6.040420548996426
5015	4.253951525463951
5016	5.606709182873831
5019	6.212847995700831
5020	6.005040479313611
5021	6.113086373505013
5023	5.800927240481796
5026	5.969752046591163
5027	4.472206941905273
5032	5.0428033849653096
5037	5.333114873476025
5040	5.52994330512662
5042	5.358984623019085
5043	5.751980545122212
5045	6.327361630002081
5046	5.323521199422051
5047	5.7469348486247975
5048	5.778667252543672
5049	5.880444510069603
5050	6.1507849939239865
5051	6.1392846087315975
5052	5.9191395820204615
5053	5.874429538313699
5057	5.769368116179835
5058	6.243407120628687
5059	5.700916611560002
5060	5.44476724414346
5062	4.4491530200238945
6001	6.062178137921668
6002	5.416236027914621
6003	5.5784539762789445
6004	5.5615215419210795
6005	5.8972154306073525
6007	5.6277035527284225
6008	3.5380313250037787
6009	6.3443101099353045
6010	6.222351179541893
6011	5.570216872860768
6013	5.689512263685374
6014	4.6636039915733445
6015	5.910504487952271
6016	6.274932609718271
6017	4.774954830072259
6018	5.458131182248905
6019	5.909884366442743
6021	5.708668003718612
6022	6.355724831399975
6023	5.113201553216745
6024	5.577922083897752
6025	6.078907352374446
6026	5.776387484889719
6028	5.631033352215475
6030	5.795026223676938
6031	6.303555947851574
6032	5.565618123970963
6034	6.437312401696445
6035	5.777163639885678
6036	6.115153976269373
6039	5.5543202799294376
6040	5.594622522768174
6042	5.453797067608557
6045	6.346581629491983
6046	5.841817678052689
6048	6.5219107062866515
6049	5.044295835507378
6050	5.663932204369234
6051	4.688377691094367
6052	5.59071141595998
6053	6.045336579340218
6054	5.853780251016225
6055	5.986639334112005
6057	5.642027507798556
6058	5.968396414965546
6059	6.319804894109251
6061	5.702595201386558
6062	6.15099349175139
6063	6.327095771439665
6064	6.4676953708677765
6065	5.738647319333216
6067	5.871603742983531
6069	6.348007735505784
6070	6.008267195739753
6071	5.8077326913243725
6075	6.110373840259726
6080	6.12916945597644
6081	5.631000915673857
6083	5.325198185094032
6084	6.37793064742473
6087	5.874847896244505
6088	5.528400752401759
6092	5.874402513211208
6094	5.127864213863359
6095	5.923159491835981
6102	5.414122814414345
6103	5.714288383525991
7002	5.976636312335347
7003	5.746622085034832
7005	6.010057663091567
7009	5.26615754207234
7010	6.334217970070643
7011	5.724764619830389
7012	5.6683310248212235
7013	4.857698330131601
7015	5.806377178323725
7016	4.839524060554752
7017	5.745382432062258
7020	5.302997893908807
7021	5.7633953440385906
7023	6.601306238714446
7025	5.493586230846409
7027	6.265795313960816
7028	4.455579219493058
7029	6.092999710850539
7030	6.027651142208347
7032	5.092104121046222
7033	5.937202507940386
7035	5.728159787134813
7039	5.828863219677792
7044	5.148826997403208
6041-d	6.036945568998695
6056-z	5.170082568752914
6078	5.858794335013238
6085	5.635866665591169
6093	3.5793302197709833
6097	5.9685720603559975
6099	5.856177748652872
6100	6.279754408981557
6101	5.919019976265199
7022	6.3260372323767635
7024	6.300288333631739
7031	5.859695039038576
7034	5.2451091941222465
7036	6.126085167982095
7037	6.57150798794664
7038	5.914796558304355
7043	5.847303757323222
7045	6.120563616038916
7046	5.131881273897263
7047	5.833655009716349
7048	5.396952638547401
7049	5.659950046291542
7050	6.4133499208676445
7054	6.102027048352458
7055-5	4.9776685481514775
7056	6.072394087179436
7057	6.285675626750213
7060	5.0125522998186325
7061	6.189025112801152
7062	5.785926927922411
7064	5.709585451064924
7066	6.27851583801996
7070	5.6418308618507025
7073	5.588516996081579
7076	6.033002430831063
7078	4.346217968699744
7081	6.1850757875984925
7083	4.836959759122327
7084	6.291575754333506
7085	6.247624347165646
7090	6.3157250587182485
7091	6.489880703229287
7092	5.771719475948992
7093	5.092799996134202
7096	6.0896986219022855
7097	6.136030232796588
7098	5.284339578655687
7099	5.793396658889595
7101	6.692870315913924
7102	6.4288785987850945
7104	4.683410592774501
7105-5	6.243656673380597
7106-5	6.076707878810787
7107	5.917675280106563
7108	6.328478411721701
7109	6.617076106485157
7110	6.113131322279987
7112	6.292969649051487
7113	5.540753164592768
7114	6.198399620126696
7115	4.773167500220662
7118	5.002539286160511
7119	6.259414101146435
7121	5.784097610454286
7122	5.198389832232514
7124	6.393548274704128
7125	5.442194360036814
8001	5.194769441055337
8002	5.49715120111201
8003	5.750963698555448
8004	6.2599237410141075
8005	5.929879532800949
8006	3.509899227793695
8007	4.593017050718011
8008	5.382925799694883
8009	5.673922363293887
8010	5.262060161004061
8011	5.919149620912436
8013	4.43161830763142
8014-5	4.898292280511502
8015	6.268044975653539
8017	6.04985080282516
8021	5.807476969280086
8024	3.605795158122797
8025	5.558671668906285
8026	4.284673206322996
8027	6.23333623279847
8032	6.029402140636162
8033	5.510123919015071
8034	6.522161402160277
8035	5.835791087281359
8036	6.240946822546418
8037	5.880599536252025
8038	5.409510491467502
8040	5.431941709753467
8041	6.545524647582046
8042	6.335108705463054
8044-5	6.366064266941902
8045	4.405511524004107
8046	5.308208315329391
8047	5.630482688176972
8048-F10	6.079172176454573
8050	5.979706925960454
8052	3.7940196704445994
8055-5	5.378016971775294
8056-2	6.318223570573141
8058	6.827231505960958
8061	5.284870723894307
8081	5.477835902251572
5018-z-b3	5.325840702335993
6038r	3.6929255483662025
6077r	5.722716195622892
6086r	3.954537357822394
6089r	5.251789203221794
7006r	6.496025164712043
7051r	6.065629459094895
7058r	5.609618442898725
7059r	6.113932717699474
7067x	5.698086178790235
7068-50x	6.047962940998293
7075r	5.6308428579774485
7077x	5.163992209140694
7079x	5.940177199632465
7080-50x	5.793058200252881
7086x	5.395058526570359
7087x	5.68252486815883
7088-50x	6.379075438418406
7116r	6.18663235644776
7117-50x	3.445873519946392
7120r	6.352855461248747
8016r	5.929280310094638
8018r	5.929454270940185
8019r	5.484002121444073
8023r	4.264897794034095
8028r	5.944486289763883
8031r	6.407972836071086
8051-50r	5.844822697380675
8053r	4.515491914892466
8062	5.557111662209107
8066	5.90639087382496
8068	6.407791516144985
8075	5.34957506169761
8077	5.242815439399315
8078	5.131142063095343
8080	6.106899712981846
8083	5.986438460776736
8084	6.2243245909363765
8085	6.509456552774844
8088	4.479403877605044
8089	5.3083071029578095
8090	5.588118095922297
8091	6.058220138577654
8092	5.2470460825151575
8093	5.846064853399264
8094	6.266172277200408
8095	6.096162454363294
8096	4.284394171040384
8097	6.269222920054222
8098	5.682501959484705
8100	4.497758846511779
8101	6.148936549769501
8102	4.933062245408527
8103	6.3625758949329905
8104	6.009692992886189
8105	5.185277361612468
8107	5.744434701365753
8108	5.511461411730775
8109	5.847926271055963
8113	6.001493092991797
9001-50	5.848987061007641
9002	5.700021818520811
9004-50	5.89930357504907
9005	5.4359485667560845
9007	6.219874232107122
9008-50	5.612845378454646
9009-50	5.120061932399285
9010	5.751670674509428
9011-50	6.264327451073232
9012	6.355638607870382
9014	6.266183142348953
9015-50	5.71253619938958
9016-C2	5.682488271424703
9017	6.068351577116031
9018	3.4816978505766505
9019	5.936398412283502
9020	5.122013577743204
9021	5.677048667842581
9023	5.067973627468333
9024	5.715724987128865
9026	4.578053313134442
9027	5.241374188569785
9028	5.654052159571623
9029	6.249964803593441
9030	5.508953059271526
9031	6.1228333981611955
9033	5.025530781041584
9034	6.3122818774698795
9035	5.524879146066565
9037	6.538569664342868
9038	6.235293510504592
9039	5.538501213608548
9040	5.521265035857363
9041	6.2138672000009585
9042	5.979234407007047
9043	5.753203905037876
9045	6.2167143812877335
9046	4.965808100546058
9047	5.912733074320723
9048	5.112613894261968
9049	4.981549929737708
9050	6.339060071879211
9051	6.127983481533761
9052	5.881031087861542
9054	5.949133134309169
9055	5.852969055718884
9056	5.720184829159006
9057	5.8909384353391845
9059	5.959211352825149
9062	6.335966404737289
9065	6.180425653810109
9066	6.337023785181224
9067-50	6.262571039551922
9069-20	5.910919736987736
